order,movie,year,actor,character
7,Agentes da S.H.I.E.L.D.,2013,Dan Sachoff,Reporter #1
7,Agentes da S.H.I.E.L.D.,2013,Melanie Cruz,Agent Noelle Walters
7,Agentes da S.H.I.E.L.D.,2013,Hunter Seagroves,Hydra Agent
7,Agentes da S.H.I.E.L.D.,2013,Jack Guzman,S.H.I.E.L.D. Agent #1
7,Agentes da S.H.I.E.L.D.,2013,Arlene Santana,Reporter #2
7,Agentes da S.H.I.E.L.D.,2013,Craig Baxley Jr.,Hydra Soldier #3
7,Agentes da S.H.I.E.L.D.,2013,Kenneth Choi,Jim Morita
7,Agentes da S.H.I.E.L.D.,2013,Kyle Clements,S.H.I.E.L.D. Agent #2
7,Agentes da S.H.I.E.L.D.,2013,Garrett Hines,Hydra Soldier
7,Agentes da S.H.I.E.L.D.,2013,Kathryn Leigh Scott,The Baroness
7,Agentes da S.H.I.E.L.D.,2013,Jay Montalvo,Reporter
7,Agentes da S.H.I.E.L.D.,2013,Matt Ferrucci,S.H.I.E.L.D. Agent
7,Agentes da S.H.I.E.L.D.,2013,Staci Roberts Steele,Paula
7,Agentes da S.H.I.E.L.D.,2013,Julia Aks,Waitress
7,Agentes da S.H.I.E.L.D.,2013,Melissa Bickerton,Ellen King
7,Agentes da S.H.I.E.L.D.,2013,Anthony Corrales,S.H.I.E.L.D. Agent
7,Agentes da S.H.I.E.L.D.,2013,Katie Hilliard,Tina Adams
7,Agentes da S.H.I.E.L.D.,2013,Philip Labes,Young Gordon
7,Agentes da S.H.I.E.L.D.,2013,Crystal Coney,Scientist
7,Agentes da S.H.I.E.L.D.,2013,Kacey Montoya,Reporter
7,Agentes da S.H.I.E.L.D.,2013,Alexander Leeb,Hydra Scientist
7,Agentes da S.H.I.E.L.D.,2013,McKay Stewart,Scientist #1
7,Agentes da S.H.I.E.L.D.,2013,David A. Jansen,S.H.I.E.L.D. Agent
7,Agentes da S.H.I.E.L.D.,2013,Viking Almquist,Masked Man
7,Agentes da S.H.I.E.L.D.,2013,Luis Castilleja,Shield Agent
7,Agentes da S.H.I.E.L.D.,2013,Elmer Törnquist,Masked Man
7,Agentes da S.H.I.E.L.D.,2013,Alice Chen,S.H.I.E.L.D. Agent
7,Agentes da S.H.I.E.L.D.,2013,Mandell Frazier,Hydra Agent
7,Agentes da S.H.I.E.L.D.,2013,Sun Jae Kim,Scientist
7,Agentes da S.H.I.E.L.D.,2013,Kai Valerius,S.H.I.E.L.D. Agent
8,Thor: O Mundo Sombrio,2013,Chris Hemsworth,Thor
8,Thor: O Mundo Sombrio,2013,Natalie Portman,Jane Foster
8,Thor: O Mundo Sombrio,2013,Tom Hiddleston,Loki
8,Thor: O Mundo Sombrio,2013,Anthony Hopkins,Odin
8,Thor: O Mundo Sombrio,2013,Christopher Eccleston,Malekith
8,Thor: O Mundo Sombrio,2013,Jaimie Alexander,Sif
8,Thor: O Mundo Sombrio,2013,Zachary Levi,Fandral
8,Thor: O Mundo Sombrio,2013,Ray Stevenson,Volstagg
8,Thor: O Mundo Sombrio,2013,Tadanobu Asano,Hogun
8,Thor: O Mundo Sombrio,2013,Idris Elba,Heimdall
8,Thor: O Mundo Sombrio,2013,Rene Russo,Frigga
8,Thor: O Mundo Sombrio,2013,Adewale Akinnuoye-Agbaje,Algrim
8,Thor: O Mundo Sombrio,2013,Kat Dennings,Darcy Lewis
8,Thor: O Mundo Sombrio,2013,Stellan Skarsgård,Erik Selvig
8,Thor: O Mundo Sombrio,2013,Alice Krige,Eir
8,Thor: O Mundo Sombrio,2013,Clive Russell,Tyr
8,Thor: O Mundo Sombrio,2013,Jonathan Howard,Ian Boothby
8,Thor: O Mundo Sombrio,2013,Chris O'Dowd,Richard
8,Thor: O Mundo Sombrio,2013,Stan Lee,Stan Lee
8,Thor: O Mundo Sombrio,2013,Tony Curran,Bor
8,Thor: O Mundo Sombrio,2013,Benicio Del Toro,The Collector
8,Thor: O Mundo Sombrio,2013,Chris Evans,Loki as Captain America
8,Thor: O Mundo Sombrio,2013,Ophelia Lovibond,Carina
9,Capitão América 2: O Soldado Invernal,2014,Chris Evans,Steve Rogers
9,Capitão América 2: O Soldado Invernal,2014,Samuel L. Jackson,Nick Fury
9,Capitão América 2: O Soldado Invernal,2014,Scarlett Johansson,Natasha Romanoff
9,Capitão América 2: O Soldado Invernal,2014,Robert Redford,Alexander Pierce
9,Capitão América 2: O Soldado Invernal,2014,Sebastian Stan,Bucky Barnes
9,Capitão América 2: O Soldado Invernal,2014,Anthony Mackie,Sam Wilson
9,Capitão América 2: O Soldado Invernal,2014,Cobie Smulders,Maria Hill
9,Capitão América 2: O Soldado Invernal,2014,Frank Grillo,Brock Rumlow
9,Capitão América 2: O Soldado Invernal,2014,Maximiliano Hernández,Jasper Sitwell
9,Capitão América 2: O Soldado Invernal,2014,Emily VanCamp,Agent 13
9,Capitão América 2: O Soldado Invernal,2014,Hayley Atwell,Peggy Carter
9,Capitão América 2: O Soldado Invernal,2014,Toby Jones,Dr. Arnim Zola
9,Capitão América 2: O Soldado Invernal,2014,Stan Lee,Smithsonian Guard
9,Capitão América 2: O Soldado Invernal,2014,Callan Mulvey,Jack Rollins
9,Capitão América 2: O Soldado Invernal,2014,Jenny Agutter,Councilwoman Hawley
9,Capitão América 2: O Soldado Invernal,2014,Garry Shandling,Senator Stern
9,Capitão América 2: O Soldado Invernal,2014,Georges St-Pierre,Georges Batroc
9,Capitão América 2: O Soldado Invernal,2014,Christopher George Sarris,Skinny Steve
9,Capitão América 2: O Soldado Invernal,2014,Evan Parke,SHIELD Agent
9,Capitão América 2: O Soldado Invernal,2014,Davis Aguila,SHIELD Strike Agent
9,Capitão América 2: O Soldado Invernal,2014,Dean Barlage,SHIELD Agent
9,Capitão América 2: O Soldado Invernal,2014,Dyrell Barnett,SHIELD Strike Agent
9,Capitão América 2: O Soldado Invernal,2014,J. Blakemore,Shield Agent
9,Capitão América 2: O Soldado Invernal,2014,Colin Botts,DC Pedestrian
9,Capitão América 2: O Soldado Invernal,2014,Ken Bray,Smithsonian Guard
9,Capitão América 2: O Soldado Invernal,2014,Brittany Buck,Mall Patron
9,Capitão América 2: O Soldado Invernal,2014,Jeremy Michael Burns,SHIELD Strike Agent
9,Capitão América 2: O Soldado Invernal,2014,Travis Allen Bush,SHIELD Agent
9,Capitão América 2: O Soldado Invernal,2014,Jose W. Byers,SHIELD Strike Agent
9,Capitão América 2: O Soldado Invernal,2014,Ulysses E. Campbell,DC Businessman
9,Capitão América 2: O Soldado Invernal,2014,Sandhya Chandel,SHIELD Agent
9,Capitão América 2: O Soldado Invernal,2014,Giles Clarke,Shield Strike Agent
9,Capitão América 2: O Soldado Invernal,2014,Daniel Clifford,Shield Strike Agent
9,Capitão América 2: O Soldado Invernal,2014,David Cohen,DC Businessman
9,Capitão América 2: O Soldado Invernal,2014,Martin Cremer,Shield Agent
9,Capitão América 2: O Soldado Invernal,2014,Layla Cushman,SHIELD Agent
9,Capitão América 2: O Soldado Invernal,2014,Rydell Danzie,SHIELD Strike Agent
9,Capitão América 2: O Soldado Invernal,2014,Adrian Denzel,DC Pedestrian
9,Capitão América 2: O Soldado Invernal,2014,Rick Dremann,DC Pedestrian
9,Capitão América 2: O Soldado Invernal,2014,Carmen Gangale,Mall Patron
9,Capitão América 2: O Soldado Invernal,2014,JoAnna Leigh Gerondale,SHIELD Agent
9,Capitão América 2: O Soldado Invernal,2014,Henry Goodman,Dr. List
9,Capitão América 2: O Soldado Invernal,2014,Carmen Dee Harris,Mall Patron
9,Capitão América 2: O Soldado Invernal,2014,Brian Hartong,S.H.I.E.L.D. Agent
9,Capitão América 2: O Soldado Invernal,2014,Nate Hatton,DC Businessman
9,Capitão América 2: O Soldado Invernal,2014,Ray Hodge,SHIELD Agent
9,Capitão América 2: O Soldado Invernal,2014,James Howard,Smithsonian Guard
9,Capitão América 2: O Soldado Invernal,2014,Chris Jameson,DC Businessman
9,Capitão América 2: O Soldado Invernal,2014,Robert E. Kerr,Shield Agent
9,Capitão América 2: O Soldado Invernal,2014,Kevin Kissig,Shield Strike Agent
9,Capitão América 2: O Soldado Invernal,2014,Jason Klingensmith,SHIELD Agent
9,Capitão América 2: O Soldado Invernal,2014,Sharyn Kmieciak,Mall Patron
9,Capitão América 2: O Soldado Invernal,2014,Thomas Kretschmann,Baron Wolfgang von Strucker
9,Capitão América 2: O Soldado Invernal,2014,Annette Lawless,SHIELD Agent
9,Capitão América 2: O Soldado Invernal,2014,James Lewis,Smithsonian Museum Visitor
9,Capitão América 2: O Soldado Invernal,2014,Phil Mallon,DC Pedestrian
9,Capitão América 2: O Soldado Invernal,2014,Katana Martinez,DC Pedestrian
9,Capitão América 2: O Soldado Invernal,2014,Johanna McGinley,DC Pedestrian
9,Capitão América 2: O Soldado Invernal,2014,Neal McNeil,SHIELD Agent
9,Capitão América 2: O Soldado Invernal,2014,Brett R. Miller,SHIELD Strike Agent
