id,label,timeset,morder,myear,mcost,mgross,mprofit,mtomatometer,maudience,aname,atwitter,afacebook,type
665,James Rhodes / War Machine,,0,2008,0,0,0,0,0,Terrence Howard,0,0,actor
666,Jane Foster,,3,2011,0,0,0,0,0,Natalie Portman,0,0,actor
667,Jarvis / Vision,,0,2008,0,0,0,0,0,Paul Bettany,0,0,actor
668,Jason Wilkes,,11,2015,0,0,0,0,0,Reggie Austin,0,0,actor
669,Jasper Sitwell,,9,2014,0,0,0,0,0,Maximiliano Hernandez,0,0,actor
670,Jemma Simmons,,7,2013,0,0,0,0,0,Elizabeth Henstridge,0,0,actor
671,Jeri Hogarth,,15,2015,0,0,0,0,0,Carrie-Anne Moss,0,0,actor
672,Jessica Jones,,15,2015,0,0,0,0,0,Krysten Ritter,0,0,actor
673,Jim Morita,,4,2011,0,0,0,0,0,Kenneth Choi,0,0,actor
674,Johann Schmidt / Red Skull,,4,2011,0,0,0,0,0,Hugo Weaving,0,0,actor
675,Justin Hammer,,2,2010,0,0,0,0,0,Sam Rockwell,0,0,actor
676,Karen Page,,12,2015,0,0,0,0,0,Deborah Ann Woll,0,0,actor
677,Kilgrave,,15,2015,0,0,0,0,0,David Tennant,0,0,actor
678,King Laufey,,3,2011,0,0,0,0,0,Colm Feore,0,0,actor
679,King T'Chaka,,16,2016,0,0,0,0,0,John Kani,0,0,actor
680,Korath,,10,2014,0,0,0,0,0,Djimon Hounsou,0,0,actor
681,Kurt,,14,2015,0,0,0,0,0,David Dastmalchian,0,0,actor
682,Lance Hunter,,7,2013,0,0,0,0,0,Nick Blood,0,0,actor
683,Leo Fitz,,7,2013,0,0,0,0,0,Iain De Caestecker,0,0,actor
684,Leonard,,1,2008,0,0,0,0,0,Ty Burrell,0,0,actor
685,Lincoln Campbell,,7,2013,0,0,0,0,0,Luke Mitchell,0,0,actor
686,Loki,,3,2011,0,0,0,0,0,Tom Hiddleston,0,0,actor
687,Luis,,14,2015,0,0,0,0,0,Michael Pena,0,0,actor
688,Luke Cage,,15,2015,0,0,0,0,0,Mike Colter,0,0,actor
689,Maggie Lang,,14,2015,0,0,0,0,0,Judy Greer,0,0,actor
690,Major Allen,,0,2008,0,0,0,0,0,Tim Guinee,0,0,actor
691,Major Kathleen Sparr,,1,2008,0,0,0,0,0,Christina Cabot,0,0,actor
692,Malcolm Ducasse,,15,2015,0,0,0,0,0,Eka Darville,0,0,actor
693,Malekith,,8,2013,0,0,0,0,0,Christopher Eccleston,0,0,actor
694,Martial Artist / Waitress,,17,2016,0,0,0,0,0,Shina Shihoko Nagai,0,0,actor
695,Martina,,1,2008,0,0,0,0,0,Debora Nascimento,0,0,actor
696,Matt Murdock,,12,2015,0,0,0,0,0,Charlie Cox,0,0,actor
697,May Parker,,16,2016,0,0,0,0,0,Marisa Tomei,0,0,actor
698,Maya Hansen,,6,2013,0,0,0,0,0,Rebecca Hall,0,0,actor
699,Melinda May,,7,2013,0,0,0,0,0,Ming-Na Wen,0,0,actor
700,Meredith Quill,,10,2014,0,0,0,0,0,Laura Haddock,0,0,actor
701,Mrs. Davis,,6,2013,0,0,0,0,0,Dale Dickey,0,0,actor
702,NASA Scientist,,5,2012,0,0,0,0,0,Tina Benko,0,0,actor
703,Natasha Romanoff / Black Widow,,2,2010,0,0,0,0,0,Scarlett Johansson,0,0,actor
704,Nebula,,10,2014,0,0,0,0,0,Karen Gillan,0,0,actor
705,Nick Fury,,0,2008,0,0,0,0,0,Samuel L. Jackson,0,0,actor
706,Nicodemus West,,17,2016,0,0,0,0,0,Michael Stuhlbarg,0,0,actor
707,Nova Prime,,10,2014,0,0,0,0,0,Glenn Close,0,0,actor
708,Obadiah Stane,,0,2008,0,0,0,0,0,Jeff Bridges,0,0,actor
709,Odin,,3,2011,0,0,0,0,0,Anthony Hopkins,0,0,actor
710,Orderly,,17,2016,0,0,0,0,0,Bern Collaco,0,0,actor
711,Orderly,,17,2016,0,0,0,0,0,Dante Briggins,0,0,actor
712,Passer-by,,17,2016,0,0,0,0,0,Emeson Nwolie,0,0,actor
713,Paxton,,14,2015,0,0,0,0,0,Bobby Cannavale,0,0,actor
714,Peggy Carter,,4,2011,0,0,0,0,0,Hayley Atwell,0,0,actor
715,Pepper Potts,,0,2008,0,0,0,0,0,Gwyneth Paltrow,0,0,actor
716,Peter Parker / Spider-Man,,16,2016,0,0,0,0,0,Tom Holland,0,0,actor
717,Peter Quill,,10,2014,0,0,0,0,0,Chris Pratt,0,0,actor
718,Pietro Maximoff / Quicksilver,,9,2014,0,0,0,0,0,Aaron Taylor-Johnson,0,0,actor
719,President Ellis,,6,2013,0,0,0,0,0,William Sadler,0,0,actor
720,Raza,,0,2008,0,0,0,0,0,Faran Tahir,0,0,actor
721,Rocket,,10,2014,0,0,0,0,0,Bradley Cooper,0,0,actor
722,Ronan,,10,2014,0,0,0,0,0,Lee Pace,0,0,actor
723,Rose,,11,2015,0,0,0,0,0,Lesley Boone,0,0,actor
724,Sam Wilson / Falcon,,9,2014,0,0,0,0,0,Anthony Mackie,0,0,actor
725,Samuel Sterns,,1,2008,0,0,0,0,0,Tim Blake Nelson,0,0,actor
726,Savin,,6,2013,0,0,0,0,0,James Badge Dale,0,0,actor
727,Scott Lang / Ant-Man,,14,2015,0,0,0,0,0,Paul Rudd,0,0,actor
728,Secretary of State Thaddeus Ross,,1,2008,0,0,0,0,0,William Hurt,0,0,actor
729,Senator Stern,,2,2010,0,0,0,0,0,Garry Shandling,0,0,actor
730,Sgt. Brett Mahoney,,12,2015,0,0,0,0,0,Royce Johnson,0,0,actor
731,Sif,,3,2011,0,0,0,0,0,Jaimie Alexander,0,0,actor
732,Smithsonian Guard,,9,2014,0,0,0,0,0,Stan Lee,0,0,actor
733,Stanley,,1,2008,0,0,0,0,0,Paul Soles,0,0,actor
734,Steve Rogers / Captain America,,4,2011,0,0,0,0,0,Chris Evans,0,0,actor
735,T'Challa / Black Panther,,16,2016,0,0,0,0,0,Chadwick Boseman,0,0,actor
736,Thanos,,5,2012,0,0,0,0,0,Josh Brolin,0,0,actor
737,The Ancient One,,17,2016,0,0,0,0,0,Tilda Swinton,0,0,actor
738,The Collector,,8,2013,0,0,0,0,0,Benicio Del Toro,0,0,actor
739,The Other,,5,2012,0,0,0,0,0,Alexis Denisof,0,0,actor
740,Thor,,3,2011,0,0,0,0,0,Chris Hemsworth,0,0,actor
741,Timothy 'Dum Dum' Dugan,,4,2011,0,0,0,0,0,Neal McDonough,0,0,actor
742,Tony Stark / Iron Man,,0,2008,0,0,0,0,0,Robert Downey Jr.,0,0,actor
743,Trevor Slattery,,6,2013,0,0,0,0,0,Ben Kingsley,0,0,actor
744,Trish Walker,,15,2015,0,0,0,0,0,Rachael Taylor,0,0,actor
745,U.S. Marshal,,2,2010,0,0,0,0,0,Kate Mara,0,0,actor
746,Ultron,,13,2015,0,0,0,0,0,James Spader,0,0,actor
747,Vanessa Marianna,,12,2015,0,0,0,0,0,Ayelet Zurer,0,0,actor
748,Vice President Rodriguez,,6,2013,0,0,0,0,0,Miguel Ferrer,0,0,actor
749,Volstagg,,3,2011,0,0,0,0,0,Ray Stevenson,0,0,actor
750,Wanda Maximoff / Scarlet Witch,,9,2014,0,0,0,0,0,Elizabeth Olsen,0,0,actor
751,Whitney Frost,,11,2015,0,0,0,0,0,Wynn Everett,0,0,actor
752,William Ginter Riva,,0,2008,0,0,0,0,0,Peter Billingsley,0,0,actor
753,Wilson Fisk,,12,2015,0,0,0,0,0,Vincent D'Onofrio,0,0,actor
754,Wong,,17,2016,0,0,0,0,0,Benedict Wong,0,0,actor
755,Yinsen,,0,2008,0,0,0,0,0,Shaun Toub,0,0,actor
756,Yondu Udonta,,10,2014,0,0,0,0,0,Michael Rooker,0,0,actor
757,Zemo,,16,2016,0,0,0,0,0,Daniel Bruhl,0,0,actor
