id,label,timeset,morder,myear,mcost,mgross,mprofit,mtomatometer,maudience,aname,atwitter,afacebook,type,role,rank
79,Bruce Banner / Hulk,,1,2008,0,0,0,0,0,Lou Ferrigno,0,0,actor,avenger,70
80,Bruce Banner / Hulk,,5,2012,0,0,0,0,0,Mark Ruffalo,0,0,actor,avenger,70
81,Bucky Barnes / Winter Soldier,,4,2011,0,0,0,0,0,Sebastian Stan,0,0,actor,avenger,40
82,Calvin Chadwick,,11,2015,0,0,0,0,0,Currie Graham,0,0,actor,support,7
83,Calvin Zabo,,7,2013,0,0,0,0,0,Kyle MacLachlan,0,0,actor,support,13
84,Camilla Reyes,,7,2013,0,0,0,0,0,Leonor Varela,0,0,actor,support,1
85,Captain America (Radio Actor),,11,2015,0,0,0,0,0,Walker Roach,0,0,actor,support,3
86,Carina,,8,2013,0,0,0,0,0,Ophelia Lovibond,0,0,actor,undefined,20
87,Carl Creel,,7,2013,0,0,0,0,0,Brian Patrick Wade,0,0,actor,support,3
88,Carla Talbot,,7,2013,0,0,0,0,0,Raquel Gardner,0,0,actor,support,3
89,Carol,,11,2015,0,0,0,0,0,Benita Robledo,0,0,actor,support,2
90,Cashier,,7,2013,0,0,0,0,0,Brittnee Garza,0,0,actor,support,1
91,Cassie Lang,,14,2015,0,0,0,0,0,Abby Ryder Fortson,0,0,actor,support,10
92,Chan Ho Yin,,7,2013,0,0,0,0,0,Louis Ozawa Changchien,0,0,actor,support,1
93,Christian Ward,,7,2013,0,0,0,0,0,Tim DeKay,0,0,actor,support,2
94,Christiane Amanpour,,2,2010,0,0,0,0,0,Christiane Amanpour,0,0,actor,support,10
95,Christine Everhart,,0,2008,0,0,0,0,0,Leslie Bibb,0,0,actor,support,20
96,Claire Temple,,12,2015,0,0,0,0,0,Rosario Dawson,0,0,actor,undefined,9
97,Clea?,,17,2016,0,0,0,0,0,Rachel McAdams,0,0,actor,undefined,0
98,Clint,,12,2015,0,0,0,0,0,Clyde Baldo,0,0,actor,support,1
99,Clint Barton / Hawkeye,,3,2011,0,0,0,0,0,Jeremy Renner,0,0,actor,avenger,40
100,Colonel Chester Phillips,,4,2011,0,0,0,0,0,Tommy Lee Jones,0,0,actor,support,10
101,Colonel Ray Schoonover,,12,2015,0,0,0,0,0,Clancy Brown,0,0,actor,support,2
102,Corpsman Dey,,10,2014,0,0,0,0,0,John C. Reilly,0,0,actor,support,10
103,Cosmo the Space Dog,,10,2014,0,0,0,0,0,Fred,0,0,actor,support,10
