order,movie,year,actor,character,rank
5,The Avengers: Os Vingadores,2012,Jerzy Skolimowski,Georgi Luchkov,10
5,The Avengers: Os Vingadores,2012,Powers Boothe,World Security Council,10
5,The Avengers: Os Vingadores,2012,Jenny Agutter,World Security Council,10
5,The Avengers: Os Vingadores,2012,Arthur Darbinyan,World Security Council,10
5,The Avengers: Os Vingadores,2012,Donald Li,World Security Council,10
5,The Avengers: Os Vingadores,2012,Maximiliano Hernández,Agent Jasper Sitwell,10
5,The Avengers: Os Vingadores,2012,Harry Dean Stanton,Security Guard,10
5,The Avengers: Os Vingadores,2012,Stan Lee,Stan Lee,10
5,The Avengers: Os Vingadores,2012,Pat Kiernan,Pat Kiernan,10
5,The Avengers: Os Vingadores,2012,Thomas Roberts,Thomas Roberts,10
5,The Avengers: Os Vingadores,2012,Logan Bennett,S.H.I.E.L.D. Agent,10
5,The Avengers: Os Vingadores,2012,Mark Falvo,S.H.I.E.L.D Agent,10
5,The Avengers: Os Vingadores,2012,Lou Ferrigno,The Hulk,10
5,The Avengers: Os Vingadores,2012,Israel Hall,S.H.I.E.L.D. Agent,10
5,The Avengers: Os Vingadores,2012,Demoine Kinney,S.H.I.E.L.D. Agent,10
5,The Avengers: Os Vingadores,2012,Andrea-Nichole Olivas,S.H.I.E.L.D agent,10
5,The Avengers: Os Vingadores,2012,Jeremy Orr,S.H.I.E.L.D. Agent,10
5,The Avengers: Os Vingadores,2012,Frank Powers,S.H.I.E.L.D. Agent - Loki Escort,10
5,The Avengers: Os Vingadores,2012,Jaime Powers,S.H.I.E.L.D. Agent,10
5,The Avengers: Os Vingadores,2012,Colin Strause,S.H.I.E.L.D. Agent #4,10
5,The Avengers: Os Vingadores,2012,George Thomas,S.H.I.E.L.D. Agent,10
6,Homem de Ferro 3,2013,Robert Downey Jr.,Tony Stark,10
6,Homem de Ferro 3,2013,Gwyneth Paltrow,Pepper Potts,10
6,Homem de Ferro 3,2013,Don Cheadle,Colonel James Rhodes,10
6,Homem de Ferro 3,2013,Guy Pearce,Aldrich Killian,10
6,Homem de Ferro 3,2013,Rebecca Hall,Maya Hansen,10
6,Homem de Ferro 3,2013,Jon Favreau,Happy Hogan,10
6,Homem de Ferro 3,2013,Ben Kingsley,Trevor Slattery,10
6,Homem de Ferro 3,2013,James Badge Dale,Savin,10
6,Homem de Ferro 3,2013,Stephanie Szostak,Brandt,10
6,Homem de Ferro 3,2013,Paul Bettany,Jarvis,10
